date,flops,name
1999,3000000000,Riva TNT2 Ultra
2000,10000000000,GeForce2 Ultra
2001,9600000000,GeForce3 Ti500
2003,12000000000,GeForce4 Ti4800
2004,19000000000,GeForce PCX 5950
2004,72000000000,GeForce 6800 Ultra Extreme
2006,240000000000,GeForce 7950 GX2
2007,624000000000,GeForce 8800 GTS
2008,933000000000,GeForce GTX 280
2009,1062000000000,GeForce GTX 285
2010,1581000000000,GeForce GTX 580
2011,1581000000000,GeForce GTX 580
2012,3090000000000,GeForce GTX 680
2013,4500000000000,GeForce GTX Titan
2014,5364000000000,Tesla K40
2015,6144000000000,GeForce GTX Titan X
2016,10157000000000,NVIDIA Titan X
2017,10790000000000,NVIDIA Titan Xp
2017,12288000000000,Nvidia TITAN V
2018,12441000000000,Nvidia TITAN RTX
2020,2.93E+13,GeForce RTX 3090
2022,7.31E+13,GeForce RTX 4090
