date,top1,top500_sum
1993.5,59700000000,1100000000000
1993.9,124000000000,1500000000000
1994.5,143400000000,2300000000000
1994.9,170000000000,2700000000000
1995.5,170000000000,3900000000000
1995.9,170000000000,4800000000000
1996.5,220400000000,5900000000000
1996.9,368200000000,8000000000000
1997.5,1100000000000,12800000000000
1997.9,1300000000000,16900000000000
1998.5,1300000000000,22600000000000
1998.9,1300000000000,29400000000000
1999.5,2100000000000,39100000000000
1999.9,2400000000000,50900000000000
2000.5,2400000000000,64200000000000
2000.9,4900000000000,88100000000000
2001.5,7200000000000,108300000000000
2001.9,7200000000000,135000000000000
2002.5,35900000000000,222300000000000
2002.9,35900000000000,291800000000000
2003.5,35900000000000,370000000000000
2003.9,35900000000000,526700000000000
2004.5,35900000000000,812300000000000
2004.9,70700000000000,1.1E+015
2005.5,136800000000000,1.7E+015
2005.9,280600000000000,2300000000000000
2006.5,280600000000000,2800000000000000
2006.9,280600000000000,3500000000000000
2007.5,280600000000000,5000000000000000
2007.9,478600000000000,7000000000000000
2008.5,1000000000000000,1.22E+016
2008.9,1.1E+015,1.74E+016
2009.5,1.1E+015,2.26E+016
2009.9,1800000000000000,2.8E+016
2010.5,1800000000000000,3.24E+016
2010.9,2600000000000000,4.38E+016
2011.5,8199999999999999,5.89E+016
2011.9,1.05E+016,7.41E+016
2012.5,1.63E+016,1.234E+017
2012.9,1.76E+016,1.621E+017
2013.5,3.39E+016,2.237E+017
2013.9,3.39E+016,2.501E+017
2014.5,3.39E+016,2.738E+017
2014.9,3.39E+016,3.082E+017
2015.5,3.39E+016,3.593E+017
2015.9,3.39E+016,4.178E+017
2016.5,9.3E+016,5.674E+017
2016.9,9.3E+016,6.721E+017
2017.5,9.3E+016,7.487E+017
2017.9,9.3E+016,8.451E+017
2018.5,1.22E+17,1.20E+18
2018.9,1.43E+17,1.40E+18
2019.5,1.43E+17,1.60E+18
2019.9,1.43E+17,1.60E+18
2020.5,4.15E+17,2.20E+18
2020.9,4.42E+17,2.40E+18
2021.5,4.42E+17,2.80E+18
2021.9,4.42E+17,3.00E+18
2022.5,1.10E+18,4.40E+18
2022.9,1.10E+18,4.90E+18
